TotalDisplacement 49780425
MaxDisplacement 9936
NumCells 51382
c23542 -62172 28784
c16069 -62172 -36736
c50264 -62172 42392
c15093 -62172 -31696
c37547 -62172 -36232
c44141 -62172 -19600
c7227 -62172 60536
c44194 -62172 -448
c48327 -62172 5600
c21906 -62172 58520
c29430 -62172 -22120
c37576 -62172 -3472
c48292 -62172 -52864
c21968 -62172 -17080
c50311 -62172 -56896
c744 -62172 52472
c44243 -62172 31808
c9872 -62172 38360
c32361 -62172 -18088
c14399 -62172 4088
c257 -62172 -35728
c29546 -62172 16688
c35564 -62172 42896
c37627 -62172 -28672
c34467 -62172 20216
c18373 -62172 54992
c11098 -62172 2072
c11115 -62172 48944
c23301 -62172 -42784
c48625 -62172 33824
c37399 -62172 -58408
c43898 -62172 23744
c4715 -62172 20720
c12808 -62172 -2464
c48579 -62172 7616
c18371 -62172 -61936
c16863 -62172 -5992
c23560 -62172 -3976
c18393 -62172 -22624
c17912 -62172 17192
c5759 -61380 -36232
c16051 -62172 41888
c34637 -62172 -44800
c27902 -62172 -42280
c35505 -62172 54488
c23419 -62172 61544
c29326 -62172 -61432
c10627 -62172 16184
c31353 -62172 -60928
c20497 -62172 19712
c23823 -62172 -60424
c42121 -62172 -35224
c32499 -62172 -16576
c44501 -62172 43400
c17265 -62172 -34216
c27470 -62172 -41272
c47880 -62172 10136
c39554 -62172 -46312
c47871 -62172 -38248
c39518 -62172 37856
c8364 -62172 -41776
c40704 -62172 58016
c39589 -62172 -29176
c31204 -62172 -55888
c32513 -62172 -56392
c10541 -62172 44408
c44560 -62172 57512
c29813 -62172 23240
c20506 -62172 -31192
c50554 -62172 43904
c31202 -62172 7112
c4199 -62172 -57400
c50561 -62172 22736
c848 -62172 61040
c15496 -62172 -30688
c32381 -61644 -29176
c34458 -61644 -28672
c39644 -62172 57008
c17825 -62172 41384
c763 -62172 -1960
c27684 -62172 -46816
c12697 -62172 -57904
c21800 -62172 -18592
c48128 -62172 -9016
c40620 -62172 48440
c44380 -62172 34832
c20339 -62172 46424
c9859 -62172 5096
c12683 -62172 -17584
c9858 -60720 42392
c15517 -62172 -40264
c23671 -62172 -19096
c19665 -62172 59024
c48014 -62172 -24640
c23723 -62172 36344
c18537 -62172 49448
c42156 -62172 45920
c21676 -62172 -52360
c35056 -62172 32312
c1981 -62172 -23128
c22705 -62172 6608
c28536 -62172 46928
c28514 -62172 -25144
c35356 -61248 -35728
c40419 -62172 59528
c37098 -61380 20216
c42832 -62172 17696
c28495 -62172 -14056
c43358 -62172 -55384
c42818 -62172 -58912
c22752 -62172 38864
c20049 -62172 -59416
c7630 -61644 -25144
c29001 -60720 61544
c1958 -61248 17192
c37127 -61644 -19096
c36785 -62172 -28168
c8135 -61248 38360
c31907 -62172 55496
c49840 -62172 53984
c29023 -62172 31304
c22329 -62172 -51856
c36773 -62172 -23632
c22555 -61380 -35224
c28781 -62172 -8512
c49619 -62172 -27664
c49594 -62172 4592
c2052 -62172 8120
c2032 -61644 8120
c35298 -60720 -56896
c2754 -62172 37352
c9985 -62172 22232
c35217 -62172 60032
c37020 -62172 10640
c31816 -62172 56
c31502 -62172 -54880
c28858 -62172 35840
c4004 -61644 -8512
c42904 -61380 17696
c43227 -62172 34328
c40189 -62172 -47824
c43243 -62172 -4480
c43255 -62172 -51352
c28557 -62172 53480
c31550 -62172 -40768
c28541 -62172 56000
c40180 -62172 -24136
c34831 -61380 -36736
c50023 -62172 18200
c48894 -60720 58520
c48893 -62172 -2968
c9926 -62172 3080
c43675 -62172 -37240
c39903 -62172 6104
c22171 -62172 11144
c11060 -60720 -58408
c14331 -62172 52976
c34849 -62172 -20104
c48834 -62172 -27160
c48902 -62172 21728
c42644 -60720 61040
c18291 -62172 -43288
c50092 -61644 37352
c43752 -62172 45416
c11076 -62172 -9520
c23196 -62172 9632
c37329 -62172 -45808
c28103 -62172 -25648
c17971 -62172 27272
c23244 -62172 -8008
c314 -60720 58016
c360 -62172 24248
c42772 -62172 -47320
c43392 -62172 -32200
c4039 -62172 15680
c35390 -61248 -23632
c16995 -61644 5600
c43451 -61644 34328
c22855 -61380 -31192
c49889 -61644 -18088
c22251 -61644 -25648
c19978 -62172 56504
c5649 -60720 59024
c6736 -62172 25256
c43486 -62172 36848
c29093 -62172 -45304
c28235 -61380 -37240
c11018 -61644 -41272
c23030 -62172 -43792
c1893 -60720 -61936
c32028 -62172 -37744
c40436 -62172 -4984
c12849 -62172 -54376
c2135 -61644 -40264
c8107 -61644 -40768
c12160 -62172 -34720
c45483 -62172 -29680
c16667 -61248 -31696
c46810 -60720 -55888
c6151 -61512 5096
